web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1567324939-211","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Richard N.","Nice product could have better installation method.","January 12, 2018","It was packaged nicely and contained all the necessary components for installation--wet wipe, dry wipe, microfiber. The only issue was the 'guide stickers' didn't stick very well. It is a good idea to provide the 'stickers' to make the process of aligning the screen protector easier, however when I would try and remove the 'protective layer' from the 'screen protector', the hinges kept peeling off. So, it ended up being just as frustrating as not having the 'guide stickers' at all.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews"
"1567324907-167","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Claudia Rocha","Great experience despite negative reviews!","March 21, 2019","I was very hesitant in purchasing this screen protector because of all the negative reviews and to be honest some of the positive reviews sounded fake, but i figured worst case scenario I’m out $10 and lesson learned. Anyway, installing the screen protector was super easy (Disclosure: i have worked for a major wireless carrier for over 10 years so I have plenty of experience placing screen protectors on devices). The only thing I needed help with was placing the little tab stickers on the screen protector and around the back of the iPad to keep it in place. Once I removed the plastic film and flipped the protector over the screen of the iPad the protector pretty much stuck to the screen on its own and surprisingly left zero air bubbles. I bought this screen protector 3 separate occasions (I have 3 kids that definitely need these on their iPads) and i have had the same experience. It is not a “fluke” or “pure luck” that these screen protectors left zero bubbles upon installation. They seriously required zero effort from my part. I understand not everyone will probably have the same experience as mine, but honestly I believe it’s all due to user error. The screen protectors have offered amazing protection to my kids iPads and since they are 9, 7, and 1 you can imagine that they have been tested. Their iPads have been dropped, tossed, and thrown all over the house (okay mostly from the 1 year old, but the protector has lived up to its name. (Disclosure: It also helps having a sturdy case on the iPad).

In conclusion: installation was easy, protection has been excellent thus far, and seriously—it’s only $10. People spend more on one cup of coffee at Starbucks. :)","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews"
"1567324878-113","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","John","A Great Product on The Second Try!","August 8, 2018","I purchased this product for the iPad 9.7 inch. At first, I was highly disappointed with the quality of the product. I followed the instructions in the book it gave but the end result was terrible. I couldn't get the air bubbles out. I sent a review to the company and they immediately got in contact with me again. They said they would send a replacement with no charge. They also gave me a list of recommended videos on youtube to help install the protective glass. I used the videos that they gave me, and they end result was fantastic! The glass is so light and once it was properly on the screen it looked wonderful. I can't even till it has a screen protector! It works great with simple styles pen that I have, and the quality of the screen isn't degraded by the protector. I would buy this product again. Warning to new users that don't usually install protectors I highly recommend looking at the tutorial videos on youtube to install this product correctly the first time. I don't know if the first try was my error or the companies but I'm grateful for the replacement they sent me to try it again. I'm not disappointed by this product!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1567324884-129","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","DJB","Cleanliness and patience.","August 29, 2019","Won’t know about impact protection until something happens but it seems quite strong. The install procedure worked well. Clean until your sure there’s nothing on the surface then clean a couple more times. One small speck of anything left on the screen will be very noticeable. The method used to align the protector worked very well. I had a couple of size-able air bubbles, patience working with the included plastic card got them out. Work the bubble toward the nearest edge, stay on the away side of the bubble and work it slowly toward the edge.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews"
"1567324920-185","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Love2Shop","I'm so glad I took a chance and ordered this!","December 20, 2016","I went to the mall the other day to have the tempered glass protector applied for me on two iPad Airs.  They wanted to charge me $45 for each one.  I was hesitant on weather to take a chance on this one and then having to go back to the mall and pay again if I didn't like the application of this ""cheaper"" one.  I am so glad I took a chance and ordered this!! I watched the YouTube video and within less than 5 minutes I had my iPad looking like a professional did it.  I have NO bubbles or lifting in any corners.  I was very careful to wash my hands, lift sleeves and not attract lint around me while applying.  I also did not touch any area that adheres to the screen. I ordered a second one immediately for our other iPad. This company just saved me $70!!!! Product is of great quality, Thank you","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews"
"1567324907-165","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Matthew","Best Screen Protector I Have Ever Owned","March 30, 2017","Over the years I have used various screen protectors. Most of them were fairly competent in their function but they all share one flaw. Putting a protective layer of any kind always seems takes away from the picture. Yes, even if its just clear, plastic just doesn't reflect the same way, just doesn't look as sharp to me as the original glass. Maybe I'm crazy but thats been my experience thus far. I accept that with a full surround case or a screen protector I will be sacrificing image quality, especially as the plastic protector ages. Having said all of this, this is the single best screen protector I have ever purchased. Easy to install, comes with literally everything you need to install it, and once its in place there is absolutely zero image quality difference whatsoever, like zero, the picture seriously looks exactly as it does without it on. I will be purchasing one of these for every device I own. I have not tried any of the other sellers versions of this style of screen protectors, so its possible they all look great. But, this is the one I chose and I am very happy with that decision.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews"
"1567324900-156","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Caitlin Wrightman","Great Customer Service!","April 6, 2017","I bought this for my 2017 iPad and first try, I failed and there was still lint under the protector even tho I thought I got it all. So be patient and get EVERY little thing you see with the sticker provided and angle your iPad to make sure. I emailed customer support and they sent me a new one and I almost messed it up (when it comes to screen protectors I'm especially challenged) but I did it! The screen protector fits perfectly and works fine.

So I want to say thank you to they lovely support team and I also really appreciate the thank you card provided with the purchase—not only was it lovely, but how it was written seemed really sincere and I felt comfortsbke emailing them about my problem.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews"
"1567324878-118","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Booklover","Nice product!","August 8, 2017","The screen is very nice and high quality and fits perfectly once on correctly.  I followed the directions as best I could and still had some difficulty in getting it on straight. It was very very quick to cling to the ipad as soon as I started to place it - it almost felt like a magnetic pull to the screen and it wasn't straight.  I had to lift it to re position it and again it clung quickly but straight this time and I noticed a small fingerprint on the backside of it but wasn't going to lift it again to retry.  I wish it had a thin film on the front of it with tabs to hold on to until it is in place.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1567324833-27","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","patientdude","Disappears once installed.","January 29, 2019","I'm sure most people say this, but I've had more electronic devices than I can count and probably had about 3 times as many brands of screen protectors, most sufficient enough. SPARIN blows them all away. Not only was the installation practical and uncomplicated, once the glass melded to the screen, it all but vanished. Yes, you can see the edge... the button cutout is a hair bigger than the actual button... and the outer edge of the glass itself is also just a hair smaller than the surface of the device's face, not that it matters unless you have something that's 100% bezel-less. But other than this edge, the protector pretty much disappears. It feels like there's absolutely nothing between you and your screen.

Bottom line, from now on I will only buy SPARIN glass screen protectors. Even the price is fair. The packaging alone feels so premium you'll think you got a crazy discount on a high-end product. I bought these for both my wife's IPAD (6), and my Surface Pro 6. I will post this same review on both versions of the screen protector.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1567324914-173","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","DB","Worked well","June 28, 2019","This product worked well for me. I installed one and after a year I’ve replaced it with a new one as the first had done it’s job in taking a lot of scratches and a few cracks.  The old one came off without a fuss, and the screen underneath it was pristine.  Worked well with my case and with my Apple pen.  I suggest cleaning the screen as you normally would And then carefully following the products directions including the cleaning. Keeping the screen clean during installation is really important.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Screen-Protector-SPARIN-Tempered-Glass/product-reviews/B013JZCAZK/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews"
